GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
list-set-map,es.ies.puerto.list,AnimalList,0,78,0,6,0,20,0,9,0,6
list-set-map,es.ies.puerto.list,PersonaList,0,78,0,6,0,20,0,9,0,6
list-set-map,es.ies.puerto,Articulo,57,20,5,1,18,7,12,3,9,3
list-set-map,es.ies.puerto,Producto,42,44,2,2,12,16,7,6,5,6
list-set-map,es.ies.puerto,Item,42,44,2,2,12,16,7,6,5,6
list-set-map,es.ies.puerto,Persona,38,39,2,4,13,12,11,4,9,3
list-set-map,es.ies.puerto,Animal,25,52,2,4,9,16,7,8,5,7
list-set-map,es.ies.puerto,Objeto,32,36,2,2,10,13,6,5,4,5
list-set-map,es.ies.puerto,Libro,31,46,2,4,11,14,9,6,7,5
list-set-map,es.ies.puerto.map,ArticuloMap,2,64,1,5,1,16,1,8,0,6
list-set-map,es.ies.puerto.map,ArticuloMapOrdenado,2,64,1,5,1,16,1,8,0,6
list-set-map,es.ies.puerto.set,AnimalSet,1,72,1,7,1,18,1,9,0,6
list-set-map,es.ies.puerto.set,LibroSet,3,70,2,6,2,17,2,8,0,6
